,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
102,EC,0.18,E,SI2,EX,441,79,79.5,61,N
103,EC,0.18,F,VVS1,EX,958,172,59.4,60,N
104,EC,0.18,F,SI1,EX,986,177,65,67,N
105,EC,0.18,D,VS2,,905,163,59.1,65,N
106,EC,0.18,D,SI1,,925,167,66,66,N
107,EC,0.18,E,VS1,,"1,096",197,65.9,68,N
108,EC,0.18,F,VVS2,,753,136,55,70,F
109,EC,0.18,F,VS1,,937,169,66.4,69,N
110,EC,0.18,F,VS1,,733,132,70.8,76,F
111,EC,0.18,G,VVS2,,928,167,70.6,70,N
112,EC,0.18,G,VS1,,881,159,66.3,68,N
113,EC,0.18,D,IF,,"1,090",196,59.6,68,N
114,EC,0.18,E,VS1,,987,178,59.4,73,F
115,EC,0.19,D,VVS1,EX,933,177,61.3,65,N
116,EC,0.19,E,VS2,EX,832,158,58.2,62,N
117,EC,0.19,E,SI1,EX,713,135,60.3,66,N
118,EC,0.19,E,VS1,EX,728,138,53.7,71,N
119,EC,0.19,G,VVS2,EX,813,155,62,60,N
120,EC,0.19,F,VS2,EX,655,124,77.4,64,N
121,EC,0.19,F,VVS1,EX,"1,118",212,65.9,62,N
122,EC,0.19,D,VVS1,EX,"1,383",263,63.8,64,N
123,EC,0.19,F,VS2,EX,"1,171",223,62.7,62,N
124,EC,0.19,D,IF,,"1,252",238,60.9,77,N
125,EC,0.19,E,IF,,"1,261",240,63,69,N
126,EC,0.19,E,VVS1,,"1,284",244,59.5,68,N
127,EC,0.19,F,VS2,,865,164,65.2,73,N
128,EC,0.2,F,IF,EX,921,184,55.5,61,N
129,EC,0.2,D,SI1,,919,184,65.3,69,N
130,EC,0.21,H,VS2,EX,895,188,62.2,62,N
131,EC,0.22,F,VVS2,EX,"1,040",229,67.7,69,N
132,EC,0.22,E,VVS2,EX,"1,245",274,61.8,63,N
133,EC,0.23,D,VS1,,"1,330",306,63.1,71,N
134,EC,0.23,E,VS1,EX,"1,157",266,50,59,N
135,EC,0.23,E,VS1,EX,"1,273",293,59.3,68,N
136,EC,0.23,F,SI2,EX,713,164,62.4,64,F
137,EC,0.23,D,VVS1,,"1,803",415,67.3,71,N
138,EC,0.23,D,IF,,"1,803",415,75.9,63,F
139,EC,0.23,F,VS1,EX,"1,114",256,63.3,60,N
140,EC,0.23,G,VS1,EX,963,221,63.4,59,N
141,EC,0.23,G,SI1,,765,176,70.7,65,N
142,EC,0.24,I,VVS2,,"1,133",272,79.9,70,N
143,EC,0.24,E,SI1,,"1,279",307,62.4,82,N
144,EC,0.24,G,VS2,EX,"1,117",268,66.5,62,N
145,EC,0.24,H,VS2,EX,"1,117",268,63.1,62,N
146,EC,0.24,F,VVS2,EX,"1,330",319,53.1,68,N
147,EC,0.24,D,VVS2,EX,"1,116",268,55.1,66,N
148,EC,0.24,D,VVS1,,"1,739",417,65.6,70,F
149,EC,0.24,E,VVS1,EX,"1,117",268,65.2,61,N
150,EC,0.24,E,SI1,,761,183,66.4,68,N
151,EC,0.25,E,VS2,,"1,161",290,63.5,74,N
152,EC,0.25,E,VVS1,,"1,288",322,68.6,60,N
153,EC,0.26,G,VVS1,,"1,405",365,71.2,76,N
154,EC,0.26,E,SI1,,"1,279",333,65.2,84,N
155,EC,0.26,F,VVS1,,805,209,67.2,71,N
156,EC,0.26,G,VS1,EX,"1,153",300,67.5,64,N
157,EC,0.26,F,VVS1,EX,"1,223",318,64.9,66,N
158,EC,0.26,F,VVS1,EX,"1,223",318,66.8,70,N
159,EC,0.26,E,VVS2,EX,"1,333",347,66.1,68,N
160,EC,0.26,H,I1,,554,144,73.2,78,F
161,EC,0.26,H,SI1,,960,250,71.1,75,N
162,EC,0.26,D,VVS1,,"1,771",460,73.1,72,N
163,EC,0.26,F,SI1,EX,920,239,63,64,N
164,EC,0.27,F,SI2,,"1,222",330,58.9,69,N
165,EC,0.27,G,VVS2,EX,"1,071",289,55.6,69,N
166,EC,0.27,F,SI1,,"1,052",284,66.2,64,N
167,EC,0.27,D,VVS1,,"1,175",317,72.7,64,N
168,EC,0.28,H,VVS2,,"1,738",487,65.9,62,N
169,EC,0.28,F,SI1,,"1,045",293,64,69,N
170,EC,0.28,F,VVS1,,"1,594",446,66.5,74,N
171,EC,0.29,D,VS1,,"1,568",455,67.3,70,F
172,EC,0.29,D,VS1,,"1,386",402,68.1,63,F
173,EC,0.29,D,VS2,,"1,358",394,67.9,70,N
174,EC,0.29,E,VVS2,,"1,594",462,66.8,66,N
175,EC,0.29,E,VVS2,,"1,481",430,69.2,71,N
176,EC,0.29,F,SI1,,"1,045",303,59.6,66,N
177,EC,0.29,F,VS1,,"1,386",402,65.2,71,N
178,EC,0.29,E,VVS2,,"1,095",317,69.9,68,N
179,EC,0.29,E,SI1,,872,253,63.7,63,N
180,EC,0.29,F,VS2,,"1,040",301,71.9,66,N
181,EC,0.29,F,VS1,,"1,568",455,64.4,64,N
182,EC,0.29,G,VS1,,"1,379",400,68.2,72,N
183,EC,0.29,E,SI1,,"1,210",351,66.5,68,N
184,EC,0.29,D,VS1,,"1,442",418,72.6,72,N
185,EC,0.29,J,VS1,,792,230,66.6,70,N
186,EC,0.3,I,VS2,,936,281,68.5,63,N
187,EC,0.3,D,VS1,,"1,479",444,74.3,57,F
188,EC,0.3,E,SI1,,"1,261",378,68.5,75,N
189,EC,0.3,E,VS1,,"1,401",420,64.4,58,F
190,EC,0.3,E,VVS1,,"1,518",455,64.7,66,N
191,EC,0.3,D,SI1,,"1,190",357,66.7,64,N
192,EC,0.3,H,VS1,,"1,152",346,69,60,F
193,EC,0.3,D,IF,,"2,088",626,66.3,61,N
194,EC,0.3,E,VVS1,,"1,541",462,63.9,68,N
195,EC,0.3,D,VVS2,,"1,564",469,65.3,66,N
196,EC,0.3,G,VVS2,,"1,425",428,65.8,66,F
197,EC,0.3,H,VS2,,"1,050",315,67.2,59,N
198,EC,0.3,G,VVS2,,"1,425",428,71.5,62,N
199,EC,0.3,H,VVS2,,"1,275",382,62.7,64,N
200,EC,0.18,G,IF,,"1,151",207,65.7,69,N
201,EC,0.18,E,VVS2,,"1,260",227,70.8,70,N
202,EC,0.18,E,SI2,EX,441,79,79.5,61,N
203,EC,0.18,F,VVS1,EX,958,172,59.4,60,N
204,EC,0.18,F,SI1,EX,986,177,65,67,N
205,EC,0.18,D,VS2,,905,163,59.1,65,N
206,EC,0.18,D,SI1,,925,167,66,66,N
207,EC,0.18,E,VS1,,"1,096",197,65.9,68,N
208,EC,0.18,F,VVS2,,753,136,55,70,F
209,EC,0.18,F,VS1,,937,169,66.4,69,N
210,EC,0.18,F,VS1,,733,132,70.8,76,F
211,EC,0.18,G,VVS2,,928,167,70.6,70,N
212,EC,0.18,G,VS1,,881,159,66.3,68,N
213,EC,0.18,D,IF,,"1,090",196,59.6,68,N
214,EC,0.18,E,VS1,,987,178,59.4,73,F
215,EC,0.19,D,VVS1,EX,933,177,61.3,65,N
216,EC,0.19,E,VS2,EX,832,158,58.2,62,N
217,EC,0.19,E,SI1,EX,713,135,60.3,66,N
218,EC,0.19,E,VS1,EX,728,138,53.7,71,N
219,EC,0.19,G,VVS2,EX,813,155,62,60,N
220,EC,0.19,F,VS2,EX,655,124,77.4,64,N
221,EC,0.19,F,VVS1,EX,"1,118",212,65.9,62,N
222,EC,0.19,D,VVS1,EX,"1,383",263,63.8,64,N
223,EC,0.19,F,VS2,EX,"1,171",223,62.7,62,N
224,EC,0.19,D,IF,,"1,252",238,60.9,77,N
225,EC,0.19,E,IF,,"1,261",240,63,69,N
226,EC,0.19,E,VVS1,,"1,284",244,59.5,68,N
227,EC,0.19,F,VS2,,865,164,65.2,73,N
228,EC,0.2,F,IF,EX,921,184,55.5,61,N
229,EC,0.2,D,SI1,,919,184,65.3,69,N
230,EC,0.21,H,VS2,EX,895,188,62.2,62,N
