,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
241,AS,5.05,I,VVS2,,"13,575","68,554"
242,AS,5.06,F,VS2,,"22,905","115,899"
243,AS,5.07,G,VS2,,"18,803","95,331"
244,AS,5.07,G,VS2,,"18,803","95,331"
245,AS,5.07,G,VVS2,,"26,268","133,176"
246,AS,5.09,I,VS2,,"13,830","70,396"
247,AS,5.09,G,VS2,,"21,560","109,740"
248,AS,5.10,I,VS1,,"18,360","93,636"
249,AS,5.10,I,VVS2,,"13,175","67,192"
250,AS,5.11,F,SI1,,"20,800","106,288"
251,AS,5.12,I,IF,,"14,835","75,955"
252,AS,5.12,J,SI1,,"12,600","64,512"
253,AS,5.12,I,VS1,,"14,310","73,267"
254,AS,5.15,H,SI1,,"14,000","72,100"
255,AS,5.20,I,VS1,,"11,000","57,200"
256,AS,5.21,G,VS1,,"21,150","110,192"
257,AS,5.23,E,VVS2,,"42,480","222,170"
258,AS,5.27,D,VS1,,"19,209","101,230"
259,AS,5.30,J,VS1,,"10,300","54,590"
260,AS,5.32,G,VS1,,"19,350","102,942"
261,AS,5.35,I,VS1,,"17,550","93,892"
262,AS,5.35,G,VVS2,,"27,450","146,859"
263,AS,5.40,E,VS1,,"33,600","181,440"
264,AS,5.50,G,VS1,,"25,200","138,600"
265,AS,5.55,I,VVS2,,"19,175","106,421"
266,AS,5.55,G,VVS1,,"19,594","108,747"
267,AS,5.58,H,VS1,,"22,010","122,816"
268,AS,5.82,G,SI2,,"18,040","104,993"
