,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
101,OV,0.18,E,VS2,EX,853,153,57.2,65,N
102,OV,0.18,D,VVS2,EX,"1,393",251,58.8,61,N
103,OV,0.18,E,VS2,,754,136,57.6,58,F
104,OV,0.18,F,VS2,,928,167,60.3,57,N
105,OV,0.18,D,VVS1,,"1,407",253,59,69,N
106,OV,0.18,D,VS2,,"1,141",205,67.8,54,N
107,OV,0.18,E,VVS2,,"1,336",241,64.6,60,N
108,OV,0.18,E,VS2,,"1,113",200,65.3,64,N
109,OV,0.18,G,VS1,,"1,202",216,62,61,F
110,OV,0.19,F,SI2,EX,603,114,59.4,60,N
111,OV,0.19,F,VS2,EX,863,164,56.9,61,N
112,OV,0.19,F,VS1,,"1,201",228,62.4,59,N
113,OV,0.2,E,SI1,,"1,098",220,58.3,59,N
114,OV,0.2,D,VS2,,"1,381",276,60.7,62,N
115,OV,0.21,D,VVS2,,"1,395",293,57,63,N
116,OV,0.21,G,VVS1,,"1,206",253,62.7,60,N
117,OV,0.22,E,VVS2,,"1,447",318,65.2,59,N
118,OV,0.23,D,VVS2,,"1,675",385,58.7,57,N
119,OV,0.23,D,VS1,,"2,030",467,61.6,65,N
120,OV,0.23,D,I1,,"1,056",243,70.5,54,N
121,OV,0.23,H,VS2,,"1,754",404,59,60,F
122,OV,0.23,E,VS2,EX,"1,171",269,57.6,65,N
123,OV,0.23,D,IF,EX,"1,314",302,61.9,61,N
124,OV,0.23,E,SI1,EX,"1,043",240,59,65,N
125,OV,0.23,F,VS2,,"1,820",419,61.1,61,N
126,OV,0.24,G,VVS1,,"1,480",355,58.7,61,F
127,OV,0.24,E,SI2,,"1,457",350,57.8,63,F
128,OV,0.24,G,IF,ID,"1,320",317,59.5,59,N
129,OV,0.24,D,VS2,EX,"1,114",267,59.3,67,N
130,OV,0.24,E,VS2,,"1,750",420,62.5,60,N
131,OV,0.24,D,VS2,,"2,030",487,58.6,63,F
132,OV,0.24,D,VVS1,,"1,497",359,60.1,60,N
133,OV,0.24,E,VVS2,,"1,352",325,59.9,60,N
134,OV,0.24,G,VVS1,,"1,255",301,65.8,56,N
135,OV,0.24,G,VVS2,,"1,156",277,59,58,F
136,OV,0.25,D,IF,,"1,739",435,64.3,59,N
137,OV,0.25,J,VVS2,,"1,652",413,57.5,63,N
138,OV,0.25,D,VVS2,,"2,012",503,60.6,62,N
139,OV,0.25,H,VS1,,"1,512",378,58.2,58,F
140,OV,0.25,D,VS2,,"1,120",280,64.7,59,N
141,OV,0.25,D,VVS1,,"1,497",374,62.1,63,N
142,OV,0.25,D,VVS1,,"1,497",374,64.7,59,N
143,OV,0.25,D,VVS1,,"1,497",374,64,58,N
144,OV,0.25,D,VVS1,,"1,465",366,63.1,58,N
145,OV,0.25,E,VVS1,,"1,481",370,63.7,58,N
146,OV,0.25,E,VVS1,,"1,401",350,64.9,59,N
147,OV,0.25,E,VVS1,,"1,449",362,64.5,57,N
148,OV,0.25,E,VVS1,,"1,449",362,63.8,57,N
149,OV,0.25,E,VVS1,,"1,449",362,64.5,56,N
150,OV,0.26,F,VS2,,"1,198",311,60.9,61,N
151,OV,0.26,D,IF,,"1,707",444,63.5,60,N
152,OV,0.26,D,VVS1,ID,"1,490",387,61.3,62,N
153,OV,0.26,F,SI1,,"1,595",415,59.7,59,F
154,OV,0.26,H,VS2,,"1,028",267,59.5,60,N
155,OV,0.26,E,VS1,,"1,960",510,65.2,59,N
156,OV,0.26,D,SI1,,"1,815",472,60.3,61,N
157,OV,0.26,D,VVS1,,"1,497",389,63.3,60,N
158,OV,0.26,D,VVS1,,"1,497",389,65.5,58,N
159,OV,0.26,E,VVS1,,"1,465",381,64.8,60,N
160,OV,0.26,E,VVS2,,"1,442",375,62.7,59,F
161,OV,0.27,D,VVS1,EX,"1,490",402,63.3,59,N
162,OV,0.27,D,SI2,,"1,363",368,58.1,59,F
163,OV,0.27,E,SI2,,"1,410",381,58.7,61,N
164,OV,0.27,E,VVS1,,"1,449",391,62.9,58,N
165,OV,0.27,D,VS2,,"1,169",316,72,57,N
166,OV,0.28,D,VVS1,,"1,513",424,55.7,62,N
167,OV,0.28,E,SI1,,"1,375",385,58.7,61,F
168,OV,0.28,D,VVS2,,"1,433",401,61.9,57,N
169,OV,0.29,H,VS1,,726,211,74,53,F
170,OV,0.29,F,VVS2,,"1,594",462,62.7,57,N
171,OV,0.29,F,VS1,,"1,386",402,62.5,62,F
172,OV,0.29,I,VVS1,,"1,534",445,53.5,58,N
173,OV,0.29,E,SI1,,792,230,59.8,55,N
174,OV,0.29,E,VVS1,EX,"1,487",431,51.4,65,N
175,OV,0.29,D,VS1,,"1,270",368,64.5,63,N
176,OV,0.29,E,SI2,,"1,316",382,61,57,N
177,OV,0.29,D,SI1,,"1,595",463,63.7,59,N
178,OV,0.29,D,VS2,,"1,470",426,62,60,N
179,OV,0.29,E,VS2,,"2,030",589,63.9,59,N
180,OV,0.29,H,VS2,,"1,120",325,59.7,65,N
181,OV,0.29,G,VS1,,952,276,70.3,56,N
182,OV,0.3,D,SI1,,"1,275",382,62.5,61,N
183,OV,0.3,D,VS2,,"1,526",458,61.2,64,N
184,OV,0.3,D,SI1,,"1,412",424,63.4,61,N
185,OV,0.3,D,SI2,,"1,231",369,60.4,58,N
186,OV,0.3,E,VS2,,"1,578",473,58.1,58,N
187,OV,0.3,E,VS2,,"1,578",473,62.2,59,N
188,OV,0.3,D,VS2,,"1,661",498,62.3,59,N
189,OV,0.3,D,VS1,,"1,723",517,61.8,57,N
190,OV,0.3,E,VVS1,,"1,656",497,61.8,62,F
191,OV,0.3,E,VVS1,,"1,679",504,62.5,59,F
192,OV,0.3,E,SI2,,"1,106",332,61.6,57,F
193,OV,0.3,E,VVS2,,"1,512",454,58.7,61,F
194,OV,0.3,H,VVS2,,"1,292",388,59.7,59,N
195,OV,0.3,D,VVS2,,"1,518",455,62,54,N
196,OV,0.3,M,VVS2,,630,189,58.3,54,N
197,OV,0.3,E,SI1,,"1,135",340,65,56,N
198,OV,0.3,E,VS2,,"1,570",471,60,61,N
199,OV,0.3,E,VS2,,"1,557",467,61.7,58,N
200,OV,0.18,F,SI1,EX,713,128,64.8,56,N
201,OV,0.18,E,VS2,EX,853,153,57.2,65,N
202,OV,0.18,D,VVS2,EX,"1,393",251,58.8,61,N
203,OV,0.18,E,VS2,,754,136,57.6,58,F
204,OV,0.18,F,VS2,,928,167,60.3,57,N
205,OV,0.18,D,VVS1,,"1,407",253,59,69,N
206,OV,0.18,D,VS2,,"1,141",205,67.8,54,N
207,OV,0.18,E,VVS2,,"1,336",241,64.6,60,N
208,OV,0.18,E,VS2,,"1,113",200,65.3,64,N
209,OV,0.18,G,VS1,,"1,202",216,62,61,F
210,OV,0.19,F,SI2,EX,603,114,59.4,60,N
211,OV,0.19,F,VS2,EX,863,164,56.9,61,N
212,OV,0.19,F,VS1,,"1,201",228,62.4,59,N
213,OV,0.2,E,SI1,,"1,098",220,58.3,59,N
214,OV,0.2,D,VS2,,"1,381",276,60.7,62,N
215,OV,0.21,D,VVS2,,"1,395",293,57,63,N
216,OV,0.21,G,VVS1,,"1,206",253,62.7,60,N
217,OV,0.22,E,VVS2,,"1,447",318,65.2,59,N
218,OV,0.23,D,VVS2,,"1,675",385,58.7,57,N
219,OV,0.23,D,VS1,,"2,030",467,61.6,65,N
220,OV,0.23,D,I1,,"1,056",243,70.5,54,N
221,OV,0.23,H,VS2,,"1,754",404,59,60,F
222,OV,0.23,E,VS2,EX,"1,171",269,57.6,65,N
223,OV,0.23,D,IF,EX,"1,314",302,61.9,61,N
224,OV,0.23,E,SI1,EX,"1,043",240,59,65,N
225,OV,0.23,F,VS2,,"1,820",419,61.1,61,N
226,OV,0.24,G,VVS1,,"1,480",355,58.7,61,F
227,OV,0.24,E,SI2,,"1,457",350,57.8,63,F
228,OV,0.24,G,IF,ID,"1,320",317,59.5,59,N
229,OV,0.24,D,VS2,EX,"1,114",267,59.3,67,N
230,OV,0.24,E,VS2,,"1,750",420,62.5,60,N
231,OV,0.24,D,VS2,,"2,030",487,58.6,63,F
232,OV,0.24,D,VVS1,,"1,497",359,60.1,60,N
233,OV,0.24,E,VVS2,,"1,352",325,59.9,60,N
234,OV,0.24,G,VVS1,,"1,255",301,65.8,56,N
235,OV,0.24,G,VVS2,,"1,156",277,59,58,F
236,OV,0.25,D,IF,,"1,739",435,64.3,59,N
237,OV,0.25,J,VVS2,,"1,652",413,57.5,63,N
238,OV,0.25,D,VVS2,,"2,012",503,60.6,62,N
239,OV,0.25,H,VS1,,"1,512",378,58.2,58,F
240,OV,0.25,D,VS2,,"1,120",280,64.7,59,N
241,OV,0.25,D,VVS1,,"1,497",374,62.1,63,N
242,OV,0.25,D,VVS1,,"1,497",374,64.7,59,N
243,OV,0.25,D,VVS1,,"1,497",374,64,58,N
244,OV,0.25,D,VVS1,,"1,465",366,63.1,58,N
245,OV,0.25,E,VVS1,,"1,481",370,63.7,58,N
246,OV,0.25,E,VVS1,,"1,401",350,64.9,59,N
247,OV,0.25,E,VVS1,,"1,449",362,64.5,57,N
248,OV,0.25,E,VVS1,,"1,449",362,63.8,57,N
249,OV,0.25,E,VVS1,,"1,449",362,64.5,56,N
250,OV,0.26,F,VS2,,"1,198",311,60.9,61,N
251,OV,0.26,D,IF,,"1,707",444,63.5,60,N
252,OV,0.26,D,VVS1,ID,"1,490",387,61.3,62,N
253,OV,0.26,F,SI1,,"1,595",415,59.7,59,F
254,OV,0.26,H,VS2,,"1,028",267,59.5,60,N
255,OV,0.26,E,VS1,,"1,960",510,65.2,59,N
256,OV,0.26,D,SI1,,"1,815",472,60.3,61,N
257,OV,0.26,D,VVS1,,"1,497",389,63.3,60,N
258,OV,0.26,D,VVS1,,"1,497",389,65.5,58,N
259,OV,0.26,E,VVS1,,"1,465",381,64.8,60,N
260,OV,0.26,E,VVS2,,"1,442",375,62.7,59,F
261,OV,0.27,D,VVS1,EX,"1,490",402,63.3,59,N
262,OV,0.27,D,SI2,,"1,363",368,58.1,59,F
263,OV,0.27,E,SI2,,"1,410",381,58.7,61,N
264,OV,0.27,E,VVS1,,"1,449",391,62.9,58,N
265,OV,0.27,D,VS2,,"1,169",316,72,57,N
266,OV,0.28,D,VVS1,,"1,513",424,55.7,62,N
267,OV,0.28,E,SI1,,"1,375",385,58.7,61,F
268,OV,0.28,D,VVS2,,"1,433",401,61.9,57,N
269,OV,0.29,H,VS1,,726,211,74,53,F
270,OV,0.29,F,VVS2,,"1,594",462,62.7,57,N
271,OV,0.29,F,VS1,,"1,386",402,62.5,62,F
272,OV,0.29,I,VVS1,,"1,534",445,53.5,58,N
273,OV,0.29,E,SI1,,792,230,59.8,55,N
274,OV,0.29,E,VVS1,EX,"1,487",431,51.4,65,N
275,OV,0.29,D,VS1,,"1,270",368,64.5,63,N
276,OV,0.29,E,SI2,,"1,316",382,61,57,N
277,OV,0.29,D,SI1,,"1,595",463,63.7,59,N
278,OV,0.29,D,VS2,,"1,470",426,62,60,N
279,OV,0.29,E,VS2,,"2,030",589,63.9,59,N
280,OV,0.29,H,VS2,,"1,120",325,59.7,65,N
281,OV,0.29,G,VS1,,952,276,70.3,56,N
282,OV,0.3,D,SI1,,"1,275",382,62.5,61,N
283,OV,0.3,D,VS2,,"1,526",458,61.2,64,N
284,OV,0.3,D,SI1,,"1,412",424,63.4,61,N
285,OV,0.3,D,SI2,,"1,231",369,60.4,58,N
286,OV,0.3,E,VS2,,"1,578",473,58.1,58,N
287,OV,0.3,E,VS2,,"1,578",473,62.2,59,N
288,OV,0.3,D,VS2,,"1,661",498,62.3,59,N
289,OV,0.3,D,VS1,,"1,723",517,61.8,57,N
290,OV,0.3,E,VVS1,,"1,656",497,61.8,62,F
291,OV,0.3,E,VVS1,,"1,679",504,62.5,59,F
292,OV,0.3,E,SI2,,"1,106",332,61.6,57,F
293,OV,0.3,E,VVS2,,"1,512",454,58.7,61,F
294,OV,0.3,H,VVS2,,"1,292",388,59.7,59,N
295,OV,0.3,D,VVS2,,"1,518",455,62,54,N
296,OV,0.3,M,VVS2,,630,189,58.3,54,N
297,OV,0.3,E,SI1,,"1,135",340,65,56,N
298,OV,0.3,E,VS2,,"1,570",471,60,61,N
299,OV,0.3,E,VS2,,"1,557",467,61.7,58,N
300,OV,0.18,F,SI1,EX,713,128,64.8,56,N
301,OV,0.18,E,VS2,EX,853,153,57.2,65,N
302,OV,0.18,D,VVS2,EX,"1,393",251,58.8,61,N
303,OV,0.18,E,VS2,,754,136,57.6,58,F
304,OV,0.18,F,VS2,,928,167,60.3,57,N
305,OV,0.18,D,VVS1,,"1,407",253,59,69,N
306,OV,0.18,D,VS2,,"1,141",205,67.8,54,N
307,OV,0.18,E,VVS2,,"1,336",241,64.6,60,N
308,OV,0.18,E,VS2,,"1,113",200,65.3,64,N
309,OV,0.18,G,VS1,,"1,202",216,62,61,F
310,OV,0.19,F,SI2,EX,603,114,59.4,60,N
311,OV,0.19,F,VS2,EX,863,164,56.9,61,N
312,OV,0.19,F,VS1,,"1,201",228,62.4,59,N
313,OV,0.2,E,SI1,,"1,098",220,58.3,59,N
314,OV,0.2,D,VS2,,"1,381",276,60.7,62,N
315,OV,0.21,D,VVS2,,"1,395",293,57,63,N
316,OV,0.21,G,VVS1,,"1,206",253,62.7,60,N
317,OV,0.22,E,VVS2,,"1,447",318,65.2,59,N
318,OV,0.23,D,VVS2,,"1,675",385,58.7,57,N
319,OV,0.23,D,VS1,,"2,030",467,61.6,65,N
320,OV,0.23,D,I1,,"1,056",243,70.5,54,N
321,OV,0.23,H,VS2,,"1,754",404,59,60,F
322,OV,0.23,E,VS2,EX,"1,171",269,57.6,65,N
323,OV,0.23,D,IF,EX,"1,314",302,61.9,61,N
324,OV,0.23,E,SI1,EX,"1,043",240,59,65,N
325,OV,0.23,F,VS2,,"1,820",419,61.1,61,N
326,OV,0.24,G,VVS1,,"1,480",355,58.7,61,F
327,OV,0.24,E,SI2,,"1,457",350,57.8,63,F
328,OV,0.24,G,IF,ID,"1,320",317,59.5,59,N
329,OV,0.24,D,VS2,EX,"1,114",267,59.3,67,N
330,OV,0.24,E,VS2,,"1,750",420,62.5,60,N
331,OV,0.24,D,VS2,,"2,030",487,58.6,63,F
332,OV,0.24,D,VVS1,,"1,497",359,60.1,60,N
333,OV,0.24,E,VVS2,,"1,352",325,59.9,60,N
334,OV,0.24,G,VVS1,,"1,255",301,65.8,56,N
335,OV,0.24,G,VVS2,,"1,156",277,59,58,F
336,OV,0.25,D,IF,,"1,739",435,64.3,59,N
337,OV,0.25,J,VVS2,,"1,652",413,57.5,63,N
338,OV,0.25,D,VVS2,,"2,012",503,60.6,62,N
339,OV,0.25,H,VS1,,"1,512",378,58.2,58,F
340,OV,0.25,D,VS2,,"1,120",280,64.7,59,N
341,OV,0.25,D,VVS1,,"1,497",374,62.1,63,N
342,OV,0.25,D,VVS1,,"1,497",374,64.7,59,N
343,OV,0.25,D,VVS1,,"1,497",374,64,58,N
344,OV,0.25,D,VVS1,,"1,465",366,63.1,58,N
345,OV,0.25,E,VVS1,,"1,481",370,63.7,58,N
346,OV,0.25,E,VVS1,,"1,401",350,64.9,59,N
347,OV,0.25,E,VVS1,,"1,449",362,64.5,57,N
348,OV,0.25,E,VVS1,,"1,449",362,63.8,57,N
349,OV,0.25,E,VVS1,,"1,449",362,64.5,56,N
350,OV,0.26,F,VS2,,"1,198",311,60.9,61,N
351,OV,0.26,D,IF,,"1,707",444,63.5,60,N
352,OV,0.26,D,VVS1,ID,"1,490",387,61.3,62,N
353,OV,0.26,F,SI1,,"1,595",415,59.7,59,F
354,OV,0.26,H,VS2,,"1,028",267,59.5,60,N
355,OV,0.26,E,VS1,,"1,960",510,65.2,59,N
356,OV,0.26,D,SI1,,"1,815",472,60.3,61,N
357,OV,0.26,D,VVS1,,"1,497",389,63.3,60,N
358,OV,0.26,D,VVS1,,"1,497",389,65.5,58,N
359,OV,0.26,E,VVS1,,"1,465",381,64.8,60,N
360,OV,0.26,E,VVS2,,"1,442",375,62.7,59,F
361,OV,0.27,D,VVS1,EX,"1,490",402,63.3,59,N
362,OV,0.27,D,SI2,,"1,363",368,58.1,59,F
363,OV,0.27,E,SI2,,"1,410",381,58.7,61,N
364,OV,0.27,E,VVS1,,"1,449",391,62.9,58,N
365,OV,0.27,D,VS2,,"1,169",316,72,57,N
366,OV,0.28,D,VVS1,,"1,513",424,55.7,62,N
367,OV,0.28,E,SI1,,"1,375",385,58.7,61,F
368,OV,0.28,D,VVS2,,"1,433",401,61.9,57,N
369,OV,0.29,H,VS1,,726,211,74,53,F
370,OV,0.29,F,VVS2,,"1,594",462,62.7,57,N
371,OV,0.29,F,VS1,,"1,386",402,62.5,62,F
372,OV,0.29,I,VVS1,,"1,534",445,53.5,58,N
373,OV,0.29,E,SI1,,792,230,59.8,55,N
374,OV,0.29,E,VVS1,EX,"1,487",431,51.4,65,N
375,OV,0.29,D,VS1,,"1,270",368,64.5,63,N
376,OV,0.29,E,SI2,,"1,316",382,61,57,N
377,OV,0.29,D,SI1,,"1,595",463,63.7,59,N
378,OV,0.29,D,VS2,,"1,470",426,62,60,N
379,OV,0.29,E,VS2,,"2,030",589,63.9,59,N
380,OV,0.29,H,VS2,,"1,120",325,59.7,65,N
381,OV,0.29,G,VS1,,952,276,70.3,56,N
382,OV,0.3,D,SI1,,"1,275",382,62.5,61,N
383,OV,0.3,D,VS2,,"1,526",458,61.2,64,N
384,OV,0.3,D,SI1,,"1,412",424,63.4,61,N
385,OV,0.3,D,SI2,,"1,231",369,60.4,58,N
386,OV,0.3,E,VS2,,"1,578",473,58.1,58,N
387,OV,0.3,E,VS2,,"1,578",473,62.2,59,N
388,OV,0.3,D,VS2,,"1,661",498,62.3,59,N
389,OV,0.3,D,VS1,,"1,723",517,61.8,57,N
390,OV,0.3,E,VVS1,,"1,656",497,61.8,62,F
391,OV,0.3,E,VVS1,,"1,679",504,62.5,59,F
392,OV,0.3,E,SI2,,"1,106",332,61.6,57,F
393,OV,0.3,E,VVS2,,"1,512",454,58.7,61,F
394,OV,0.3,H,VVS2,,"1,292",388,59.7,59,N
395,OV,0.3,D,VVS2,,"1,518",455,62,54,N
396,OV,0.3,M,VVS2,,630,189,58.3,54,N
397,OV,0.3,E,SI1,,"1,135",340,65,56,N
398,OV,0.3,E,VS2,,"1,570",471,60,61,N
399,OV,0.3,E,VS2,,"1,557",467,61.7,58,N
400,OV,0.18,F,SI1,EX,713,128,64.8,56,N
401,OV,0.18,E,VS2,EX,853,153,57.2,65,N
402,OV,0.18,D,VVS2,EX,"1,393",251,58.8,61,N
403,OV,0.18,E,VS2,,754,136,57.6,58,F
404,OV,0.18,F,VS2,,928,167,60.3,57,N
405,OV,0.18,D,VVS1,,"1,407",253,59,69,N
406,OV,0.18,D,VS2,,"1,141",205,67.8,54,N
407,OV,0.18,E,VVS2,,"1,336",241,64.6,60,N
408,OV,0.18,E,VS2,,"1,113",200,65.3,64,N
409,OV,0.18,G,VS1,,"1,202",216,62,61,F
410,OV,0.19,F,SI2,EX,603,114,59.4,60,N
411,OV,0.19,F,VS2,EX,863,164,56.9,61,N
412,OV,0.19,F,VS1,,"1,201",228,62.4,59,N
413,OV,0.2,E,SI1,,"1,098",220,58.3,59,N
414,OV,0.2,D,VS2,,"1,381",276,60.7,62,N
415,OV,0.21,D,VVS2,,"1,395",293,57,63,N
416,OV,0.21,G,VVS1,,"1,206",253,62.7,60,N
417,OV,0.22,E,VVS2,,"1,447",318,65.2,59,N
418,OV,0.23,D,VVS2,,"1,675",385,58.7,57,N
419,OV,0.23,D,VS1,,"2,030",467,61.6,65,N
420,OV,0.23,D,I1,,"1,056",243,70.5,54,N
