,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
119,HS,0.32,G,VS2,,"1,248",399
120,HS,0.32,E,SI2,,"1,120",358
121,HS,0.32,D,VVS2,,"1,656",530
122,HS,0.32,G,VS1,,"1,404",449
123,HS,0.32,G,VVS1,,"1,540",493
124,HS,0.32,F,VS1,,"1,444",462
125,HS,0.32,D,VVS1,,"1,800",576
126,HS,0.32,D,VVS2,,"1,656",530
127,HS,0.32,E,VVS2,,"1,554",497
128,HS,0.32,D,VS1,,"1,575",504
129,HS,0.32,F,VVS1,,"1,533",491
130,HS,0.32,G,VS2,,"1,216",389
131,HS,0.32,E,VS2,,"1,476",472
132,HS,0.32,I,SI1,,"1,150",368
133,HS,0.32,D,IF,,"3,190","1,021"
134,HS,0.32,D,IF,,"2,204",705
135,HS,0.32,D,IF,,"2,204",705
136,HS,0.32,D,IF,,"2,233",715
137,HS,0.32,D,IF,,"2,204",705
138,HS,0.32,E,IF,,"2,000",640
139,HS,0.32,D,IF,,"2,320",742
140,HS,0.33,F,VVS1,,"1,596",527
141,HS,0.33,E,VVS2,,"1,554",513
142,HS,0.33,G,VVS2,,"1,425",470
143,HS,0.33,F,VVS2,,"1,500",495
144,HS,0.33,G,VS1,,"1,350",446
145,HS,0.33,H,VVS2,,"1,309",432
146,HS,0.33,H,VVS2,,"1,309",432
147,HS,0.33,H,VS1,,"1,232",407
148,HS,0.33,E,VVS1,,"1,656",546
149,HS,0.33,F,VS2,,"1,292",426
150,HS,0.33,I,VVS1,,"1,152",380
151,HS,0.33,G,VS2,,"1,136",375
152,HS,0.33,G,VS1,,"1,224",404
153,HS,0.33,F,VS2,,"1,257",415
154,HS,0.33,E,VVS2,,"1,428",471
155,HS,0.33,D,IF,,"1,711",565
156,HS,0.33,E,VVS1,,"1,311",433
157,HS,0.33,F,IF,,"1,311",433
158,HS,0.33,D,IF,,"2,320",766
159,HS,0.33,D,IF,,"2,320",766
160,HS,0.33,E,IF,,"1,975",652
161,HS,0.33,D,IF,,"2,320",766
162,HS,0.33,D,IF,,"2,204",727
163,HS,0.33,H,SI2,,890,294
164,HS,0.34,D,VS2,,"1,406",478
165,HS,0.34,F,VS1,,"1,463",497
166,HS,0.34,G,VS2,,"1,248",424
167,HS,0.34,D,IF,,"2,204",749
168,HS,0.34,D,IF,,"2,204",749
169,HS,0.34,D,SI1,,"1,292",439
170,HS,0.34,G,VVS2,,"1,406",478
171,HS,0.34,E,VS2,,"1,350",459
172,HS,0.34,E,VS2,,"1,332",453
173,HS,0.34,D,VVS2,,"1,679",571
174,HS,0.34,G,SI1,,840,286
175,HS,0.34,E,VS1,,"1,380",469
176,HS,0.34,E,VVS1,,"1,771",602
177,HS,0.34,E,VVS1,EX,510,58.7
178,HS,0.34,F,IF,EX,463,58.5
179,HS,0.34,D,IF,,"2,233",759
180,HS,0.34,D,VVS1,,"1,975",672
