,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
11269,PR,0.50,F,VVS1,,"2,143","1,072"
11270,PR,0.50,E,VS2,G,926,73.1
11271,PR,0.50,E,VS2,EX,922,72.9
11272,PR,0.50,E,VS1,G,965,75.2
11273,PR,0.50,E,VVS2,,"1,900",950
11274,PR,0.50,G,SI1,,"1,231",615
11275,PR,0.50,G,VS2,,"1,372",686
11276,PR,0.50,G,VS2,,"1,462",731
11277,PR,0.50,H,VS2,,"1,440",720
11278,PR,0.50,G,VVS1,,"1,890",945
11279,PR,0.50,G,VVS1,,"1,830",915
11280,PR,0.50,E,VVS1,,"1,938",969
11281,PR,0.50,H,IF,,"1,595",798
11282,PR,0.50,F,VVS2,,"1,620",810
11283,PR,0.50,D,VVS2,,"1,925",962
11284,PR,0.50,F,VS1,,"1,650",825
11285,PR,0.50,D,VS2,,"1,705",852
11286,PR,0.50,D,SI2,,"1,320",660
11287,PR,0.50,D,VS1,,"1,560",780
11288,PR,0.50,G,VS1,,"1,606",803
11289,PR,0.50,I,VVS1,,"1,469",734
11290,PR,0.50,I,VS2,,"1,292",646
11291,PR,0.50,I,VS1,,"1,426",713
11292,PR,0.50,E,SI1,,"1,311",656
11293,PR,0.50,E,VS2,,"1,274",637
11294,PR,0.50,G,VS1,,"1,289",645
11295,PR,0.50,G,VS1,,"1,296",648
11296,PR,0.50,G,VS2,,"1,346",673
11297,PR,0.50,H,VS1,,"1,444",722
11298,PR,0.50,H,SI1,,"1,130",565
11299,PR,0.50,I,SI1,,"1,278",639
11300,PR,0.50,E,VS1,,"1,260",630
11301,PR,0.50,E,VS1,,"1,245",622
11302,PR,0.50,D,VS1,,"1,712",856
11303,PR,0.50,E,VS2,,"1,421",710
11304,PR,0.50,E,VS1,,"1,635",818
11305,PR,0.50,F,VVS1,,"1,888",944
11306,PR,0.50,F,VVS1,,"1,760",880
11307,PR,0.50,H,VS2,,"1,446",723
11308,PR,0.50,I,SI1,,"1,044",522
11309,PR,0.50,J,VS2,,950,475
11310,PR,0.50,I,SI1,,"1,278",639
11311,PR,0.50,D,SI1,,"1,750",875
11312,PR,0.50,J,IF,,"1,210",605
11313,PR,0.50,F,VS1,,"1,914",957
11314,PR,0.50,E,VS1,,"1,919",960
11315,PR,0.50,D,VS1,,"1,952",976
11316,PR,0.50,D,VS1,,"1,984",992
11317,PR,0.50,D,VS1,,"1,984",992
11318,PR,0.50,D,VS1,,"2,016","1,008"
11319,PR,0.50,G,VS2,,"1,831",916
11320,PR,0.50,H,VS2,,"1,596",798
11321,PR,0.50,G,SI2,,"1,344",672
11322,PR,0.50,G,VS2,,"1,254",627
11323,PR,0.50,G,VS2,,"1,261",630
11324,PR,0.50,G,VS2,,"1,398",699
11325,PR,0.50,G,VVS2,,"1,428",714
11326,PR,0.50,H,VVS2,,"1,306",653
11327,PR,0.50,J,VS1,,"1,012",506
11328,PR,0.50,D,VS1,,"1,648",824
11329,PR,0.50,D,VS1,,"1,608",804
11330,PR,0.50,F,IF,,"1,666",833
11331,PR,0.50,J,VS2,,"1,053",526
11332,PR,0.50,E,VS1,,"1,890",945
11333,PR,0.50,G,VVS2,,"1,736",868
11334,PR,0.50,H,VS1,,"1,650",825
11335,PR,0.50,H,VVS2,,"1,690",845
11336,PR,0.50,G,VS2,,"1,742",871
11337,PR,0.50,J,VVS2,,"2,000","1,000"
11338,PR,0.50,D,VS1,,"2,496","1,248"
11339,PR,0.50,D,VVS2,,"2,482","1,241"
11340,PR,0.50,F,SI1,,"1,826",913
11341,PR,0.50,I,VVS2,,"1,752",876
11342,PR,0.50,I,SI1,,"1,494",747
11343,PR,0.50,G,SI1,,"1,134",567
11344,PR,0.50,H,SI1,,"1,440",720
11345,PR,0.50,I,SI1,,"1,278",639
11346,PR,0.50,H,SI2,,944,472
11347,PR,0.50,J,SI1,,964,482
11348,PR,0.50,J,SI2,,956,478
11349,PR,0.50,G,VS2,,"1,358",679
11350,PR,0.50,D,VS1,,"1,696",848
11351,PR,0.50,H,VS1,,"1,375",688
11352,PR,0.50,E,SI1,,"1,650",825
11353,PR,0.50,G,VS1,,"1,700",850
11354,PR,0.50,E,SI1,,"1,650",825
11355,PR,0.50,G,SI1,,"1,600",800
11356,PR,0.50,E,VS2,,"1,750",875
11357,PR,0.50,H,VS1,,"1,600",800
11358,PR,0.50,E,SI1,,"1,650",825
11359,PR,0.50,H,SI1,,"1,450",725
11360,PR,0.50,I,VS2,,"1,400",700
11361,PR,0.50,F,VS2,,"1,650",825
11362,PR,0.50,H,VS2,,"1,600",800
11363,PR,0.50,H,VS2,,"1,600",800
11364,PR,0.50,H,VS2,,"1,600",800
11365,PR,0.50,I,VS1,,"1,400",700
11366,PR,0.50,G,VS2,,"1,600",800
11367,PR,0.50,E,SI1,,"1,700",850
11368,PR,0.50,G,SI1,VG,762,74.4
11369,PR,0.50,H,VS1,,"1,350",675
11370,PR,0.50,H,SI2,,"1,012",506
11371,PR,0.50,I,SI1,,"1,012",506
11372,PR,0.50,I,SI1,,"1,035",518
11373,PR,0.50,I,SI2,,"1,035",518
11374,PR,0.50,I,SI2,,"1,031",516
11375,PR,0.50,I,SI2,,"1,024",512
11376,PR,0.50,I,SI1,,"1,017",508
11377,PR,0.50,I,VS2,,"1,155",578
11378,PR,0.50,J,VS2,,"1,035",518
11379,PR,0.50,H,VS2,,"1,332",666
11380,PR,0.50,J,VS1,,"1,140",570
11381,PR,0.50,D,VS1,,"2,176","1,088"
11382,PR,0.50,F,VS1,VG,783,74.2
11383,PR,0.50,H,SI2,,884,442
11384,PR,0.50,F,VVS2,,"1,950",975
11385,PR,0.50,F,SI1,EX,561,72.4
11386,PR,0.50,D,VVS2,EX,714,72.2
11387,PR,0.50,E,SI1,VG,562,72.6
